Date,GWL
04.01.2010 00:00:00,8
11.01.2010 00:00:00,8.1
18.01.2010 00:00:00,8.2
25.01.2010 00:00:00,8.3
01.02.2010 00:00:00,8.4
08.02.2010 00:00:00,8.5
15.02.2010 00:00:00,8.6
22.02.2010 00:00:00,8.7
01.03.2010 00:00:00,8.8
08.03.2010 00:00:00,8.9
15.03.2010 00:00:00,9
22.03.2010 00:00:00,9.1
29.03.2010 00:00:00,9.2
05.04.2010 00:00:00,9.3
12.04.2010 00:00:00,9.4
19.04.2010 00:00:00,9.5
26.04.2010 00:00:00,9.6
03.05.2010 00:00:00,9.7
10.05.2010 00:00:00,9.8
17.05.2010 00:00:00,9.9
24.05.2010 00:00:00,10
31.05.2010 00:00:00,10.1
07.06.2010 00:00:00,10.2
14.06.2010 00:00:00,10.3
21.06.2010 00:00:00,10.4
28.06.2010 00:00:00,10.5
05.07.2010 00:00:00,10.6
12.07.2010 00:00:00,10.7
19.07.2010 00:00:00,10.8
26.07.2010 00:00:00,10.9
02.08.2010 00:00:00,11
09.08.2010 00:00:00,11.1
16.08.2010 00:00:00,11.2
23.08.2010 00:00:00,11.3
30.08.2010 00:00:00,11.4
06.09.2010 00:00:00,11.5
13.09.2010 00:00:00,11.6
20.09.2010 00:00:00,11.7
27.09.2010 00:00:00,11.8
04.10.2010 00:00:00,11.9
11.10.2010 00:00:00,12
18.10.2010 00:00:00,12.1
25.10.2010 00:00:00,12.2
01.11.2010 00:00:00,12.3
08.11.2010 00:00:00,12.4
15.11.2010 00:00:00,12.5
22.11.2010 00:00:00,12.6
29.11.2010 00:00:00,12.7
06.12.2010 00:00:00,12.8
13.12.2010 00:00:00,12.9
20.12.2010 00:00:00,13
27.12.2010 00:00:00,13.1
03.01.2011 00:00:00,13.2
10.01.2011 00:00:00,13.3
17.01.2011 00:00:00,13.4
24.01.2011 00:00:00,13.5
31.01.2011 00:00:00,13.6
07.02.2011 00:00:00,13.7
14.02.2011 00:00:00,13.8
21.02.2011 00:00:00,13.9
28.02.2011 00:00:00,14
07.03.2011 00:00:00,14.1
14.03.2011 00:00:00,14.2
21.03.2011 00:00:00,14.3
28.03.2011 00:00:00,14.4
04.04.2011 00:00:00,14.5
11.04.2011 00:00:00,14.6
18.04.2011 00:00:00,14.7
25.04.2011 00:00:00,14.8
02.05.2011 00:00:00,14.9
09.05.2011 00:00:00,15
16.05.2011 00:00:00,15.1
23.05.2011 00:00:00,15.2
30.05.2011 00:00:00,15.3
06.06.2011 00:00:00,15.4
13.06.2011 00:00:00,15.5
20.06.2011 00:00:00,15.6
27.06.2011 00:00:00,15.7
04.07.2011 00:00:00,15.8
11.07.2011 00:00:00,15.9
18.07.2011 00:00:00,16
25.07.2011 00:00:00,16.1
01.08.2011 00:00:00,16.2
08.08.2011 00:00:00,16.3
15.08.2011 00:00:00,16.4
22.08.2011 00:00:00,16.5
29.08.2011 00:00:00,16.6
05.09.2011 00:00:00,16.7
12.09.2011 00:00:00,16.8
19.09.2011 00:00:00,16.9
26.09.2011 00:00:00,17
03.10.2011 00:00:00,17.1
10.10.2011 00:00:00,17.2
17.10.2011 00:00:00,17.3
24.10.2011 00:00:00,17.4
31.10.2011 00:00:00,17.5
07.11.2011 00:00:00,17.6
14.11.2011 00:00:00,17.7
21.11.2011 00:00:00,17.8
28.11.2011 00:00:00,17.9
05.12.2011 00:00:00,18
12.12.2011 00:00:00,18.1
19.12.2011 00:00:00,18.2
26.12.2011 00:00:00,18.3
02.01.2012 00:00:00,18.4
09.01.2012 00:00:00,18.5
16.01.2012 00:00:00,18.6
23.01.2012 00:00:00,18.7
30.01.2012 00:00:00,18.8
06.02.2012 00:00:00,18.9
13.02.2012 00:00:00,19
20.02.2012 00:00:00,19.1
27.02.2012 00:00:00,19.2
05.03.2012 00:00:00,19.3
12.03.2012 00:00:00,19.4
19.03.2012 00:00:00,19.5
26.03.2012 00:00:00,19.6
02.04.2012 00:00:00,19.7
09.04.2012 00:00:00,19.8
16.04.2012 00:00:00,19.9
23.04.2012 00:00:00,20
30.04.2012 00:00:00,20.1
07.05.2012 00:00:00,20.2
14.05.2012 00:00:00,20.3
21.05.2012 00:00:00,20.4
28.05.2012 00:00:00,20.5
04.06.2012 00:00:00,20.6
11.06.2012 00:00:00,20.7
18.06.2012 00:00:00,20.8
25.06.2012 00:00:00,20.9
02.07.2012 00:00:00,21
09.07.2012 00:00:00,21.1
16.07.2012 00:00:00,21.2
23.07.2012 00:00:00,21.3
30.07.2012 00:00:00,21.4
06.08.2012 00:00:00,21.5
13.08.2012 00:00:00,21.6
20.08.2012 00:00:00,21.7
27.08.2012 00:00:00,21.8
03.09.2012 00:00:00,21.9
10.09.2012 00:00:00,22
17.09.2012 00:00:00,22.1
24.09.2012 00:00:00,22.2
01.10.2012 00:00:00,22.3
08.10.2012 00:00:00,22.4
15.10.2012 00:00:00,22.5
22.10.2012 00:00:00,22.6
29.10.2012 00:00:00,22.7
05.11.2012 00:00:00,22.8
12.11.2012 00:00:00,22.9
19.11.2012 00:00:00,23
26.11.2012 00:00:00,23.1
03.12.2012 00:00:00,23.2
10.12.2012 00:00:00,23.3
17.12.2012 00:00:00,23.4
24.12.2012 00:00:00,23.5
31.12.2012 00:00:00,23.6
07.01.2013 00:00:00,23.7
14.01.2013 00:00:00,23.8
21.01.2013 00:00:00,23.9
28.01.2013 00:00:00,24
04.02.2013 00:00:00,24.1
11.02.2013 00:00:00,24.2
18.02.2013 00:00:00,24.3
25.02.2013 00:00:00,24.4
04.03.2013 00:00:00,24.5
11.03.2013 00:00:00,24.6
18.03.2013 00:00:00,24.7
25.03.2013 00:00:00,24.8
01.04.2013 00:00:00,24.9
08.04.2013 00:00:00,25
15.04.2013 00:00:00,25.1
22.04.2013 00:00:00,25.2
29.04.2013 00:00:00,25.3
06.05.2013 00:00:00,25.4
13.05.2013 00:00:00,25.5
20.05.2013 00:00:00,25.6
27.05.2013 00:00:00,25.7
03.06.2013 00:00:00,25.8
10.06.2013 00:00:00,25.9
17.06.2013 00:00:00,26
24.06.2013 00:00:00,26.1
01.07.2013 00:00:00,26.2
08.07.2013 00:00:00,26.3
15.07.2013 00:00:00,26.4
22.07.2013 00:00:00,26.5
29.07.2013 00:00:00,26.6
05.08.2013 00:00:00,26.7
12.08.2013 00:00:00,26.8
19.08.2013 00:00:00,26.9
26.08.2013 00:00:00,27
02.09.2013 00:00:00,27.1
09.09.2013 00:00:00,27.2
16.09.2013 00:00:00,27.3
23.09.2013 00:00:00,27.4
30.09.2013 00:00:00,27.5
07.10.2013 00:00:00,27.6
14.10.2013 00:00:00,27.7
21.10.2013 00:00:00,27.8
28.10.2013 00:00:00,27.9
04.11.2013 00:00:00,28
11.11.2013 00:00:00,28.1
18.11.2013 00:00:00,28.2
25.11.2013 00:00:00,28.3
02.12.2013 00:00:00,28.4
09.12.2013 00:00:00,28.5
16.12.2013 00:00:00,28.6
23.12.2013 00:00:00,28.7
30.12.2013 00:00:00,28.8
06.01.2014 00:00:00,28.9
13.01.2014 00:00:00,29
20.01.2014 00:00:00,29.1
27.01.2014 00:00:00,29.2
03.02.2014 00:00:00,29.3
10.02.2014 00:00:00,29.4
17.02.2014 00:00:00,29.5
24.02.2014 00:00:00,29.6
03.03.2014 00:00:00,29.7
10.03.2014 00:00:00,29.8
17.03.2014 00:00:00,29.9
24.03.2014 00:00:00,30
31.03.2014 00:00:00,30.1
07.04.2014 00:00:00,30.2
14.04.2014 00:00:00,30.3
21.04.2014 00:00:00,30.4
28.04.2014 00:00:00,30.5
05.05.2014 00:00:00,30.6
12.05.2014 00:00:00,30.7
19.05.2014 00:00:00,30.8
26.05.2014 00:00:00,30.9
02.06.2014 00:00:00,31
09.06.2014 00:00:00,31.1
16.06.2014 00:00:00,31.2
23.06.2014 00:00:00,31.3
30.06.2014 00:00:00,31.4
07.07.2014 00:00:00,31.5
14.07.2014 00:00:00,31.6
21.07.2014 00:00:00,31.7
28.07.2014 00:00:00,31.8
04.08.2014 00:00:00,31.9
11.08.2014 00:00:00,32
18.08.2014 00:00:00,32.1
25.08.2014 00:00:00,32.2
01.09.2014 00:00:00,32.3
08.09.2014 00:00:00,32.4
15.09.2014 00:00:00,32.5
22.09.2014 00:00:00,32.6
29.09.2014 00:00:00,32.7
06.10.2014 00:00:00,32.8
13.10.2014 00:00:00,32.9
20.10.2014 00:00:00,33
27.10.2014 00:00:00,33.1
03.11.2014 00:00:00,33.2
10.11.2014 00:00:00,33.3
17.11.2014 00:00:00,33.4
24.11.2014 00:00:00,33.5
01.12.2014 00:00:00,33.6
08.12.2014 00:00:00,33.7
15.12.2014 00:00:00,33.8
22.12.2014 00:00:00,33.9
29.12.2014 00:00:00,34
05.01.2015 00:00:00,34.1
12.01.2015 00:00:00,34.2
19.01.2015 00:00:00,34.3
26.01.2015 00:00:00,34.4
02.02.2015 00:00:00,34.5
09.02.2015 00:00:00,34.6
16.02.2015 00:00:00,34.7
23.02.2015 00:00:00,34.8
02.03.2015 00:00:00,34.9
09.03.2015 00:00:00,35
16.03.2015 00:00:00,35.1
23.03.2015 00:00:00,35.2
30.03.2015 00:00:00,35.3
06.04.2015 00:00:00,35.4
13.04.2015 00:00:00,35.5
20.04.2015 00:00:00,35.6
27.04.2015 00:00:00,35.7
04.05.2015 00:00:00,35.8
11.05.2015 00:00:00,35.9
18.05.2015 00:00:00,36
25.05.2015 00:00:00,36.1
01.06.2015 00:00:00,36.2
08.06.2015 00:00:00,36.3
15.06.2015 00:00:00,36.4
22.06.2015 00:00:00,36.5
29.06.2015 00:00:00,36.6
06.07.2015 00:00:00,36.7
13.07.2015 00:00:00,36.8
20.07.2015 00:00:00,36.9
27.07.2015 00:00:00,37
03.08.2015 00:00:00,37.1
10.08.2015 00:00:00,37.2
17.08.2015 00:00:00,37.3
24.08.2015 00:00:00,37.4
31.08.2015 00:00:00,37.5
07.09.2015 00:00:00,37.6
14.09.2015 00:00:00,37.7
21.09.2015 00:00:00,37.8
28.09.2015 00:00:00,37.9
05.10.2015 00:00:00,38
12.10.2015 00:00:00,38.1
19.10.2015 00:00:00,38.2
26.10.2015 00:00:00,38.3
02.11.2015 00:00:00,38.4
09.11.2015 00:00:00,38.5
16.11.2015 00:00:00,38.6
23.11.2015 00:00:00,38.7
30.11.2015 00:00:00,38.8
07.12.2015 00:00:00,38.9
14.12.2015 00:00:00,39
21.12.2015 00:00:00,39.1
28.12.2015 00:00:00,39.2
