Date,P,rH,T,Tsin
04.01.2010 00:00:00,10.01,50.01,0.0702380192528156,-8.7483939036822
11.01.2010 00:00:00,10.02,50.02,0.631006714170278,-8.96443512924513
18.01.2010 00:00:00,10.03,50.03,0.182576568195483,-9.05046914054543
25.01.2010 00:00:00,10.04,50.04,0.525603606081914,-9.00524822459506
01.02.2010 00:00:00,10.05,50.05,1.52733958633703,-8.82942820021496
08.02.2010 00:00:00,10.06,50.06,1.48230483296968,-8.52555890699892
15.02.2010 00:00:00,10.07,50.07,1.28747747398347,-8.09804722610862
22.02.2010 00:00:00,10.08,50.08,2.66569976930086,-7.5530931692454
01.03.2010 00:00:00,10.09,50.09,3.72855504653259,-6.89859996262674
08.03.2010 00:00:00,10.1,50.1,4.57085939014813,-6.14405943005374
15.03.2010 00:00:00,10.11,50.11,5.67778483149089,-5.3004143371544
22.03.2010 00:00:00,10.12,50.12,6.34737604318268,-4.3798996933602
29.03.2010 00:00:00,10.13,50.13,7.85787274472439,-3.39586531299878
05.04.2010 00:00:00,10.14,50.14,9.02316314484848,-2.36258220886042
12.04.2010 00:00:00,10.15,50.15,9.10248945959429,-1.29503562611183
19.04.2010 00:00:00,10.16,50.16,10.082133813447,-0.208707717859268
26.04.2010 00:00:00,10.17,50.17,11.3371620723182,0.880646985568096
03.05.2010 00:00:00,10.18,50.18,11.9260112741208,1.9572300575934
10.05.2010 00:00:00,10.19,50.19,12.6001892823009,3.00542829287918
17.05.2010 00:00:00,10.2,50.2,13.7158403914547,4.01004013879518
24.05.2010 00:00:00,10.21,50.21,14.311502342949,4.95649615670755
31.05.2010 00:00:00,10.22,50.22,15.2737423257236,5.83107031608153
07.06.2010 00:00:00,10.23,50.23,16.4123299564768,6.6210790570066
14.06.2010 00:00:00,10.24,50.24,17.3528873086619,7.3150652341765
21.06.2010 00:00:00,10.25,50.25,18.5398774103163,7.90296427484158
28.06.2010 00:00:00,10.26,50.26,19.4068876052078,8.37625014078054
05.07.2010 00:00:00,10.27,50.27,19.8913259146028,8.72805897765625
12.07.2010 00:00:00,10.28,50.28,20.0270633521026,8.95328865842215
19.07.2010 00:00:00,10.29,50.29,20.0788561951944,9.04867277723252
26.07.2010 00:00:00,10.3,50.3,20.0794620781205,9.01282802065013
02.08.2010 00:00:00,10.31,50.31,20.2638340727066,8.84627422922832
09.08.2010 00:00:00,10.32,50.32,19.8056031698823,8.55142685850672
16.08.2010 00:00:00,10.33,50.33,19.0406681391271,8.13256194871919
23.08.2010 00:00:00,10.34,50.34,17.9663627685916,7.59575411129285
30.08.2010 00:00:00,10.35,50.35,17.0951794147199,6.94878843145974
06.09.2010 00:00:00,10.36,50.36,16.4775992750764,6.20104756461736
13.09.2010 00:00:00,10.37,50.37,15.9116719791329,5.36337566389853
20.09.2010 00:00:00,10.38,50.38,14.8243278205614,4.44792111217555
27.09.2010 00:00:00,10.39,50.39,13.5678119528606,3.46796033951206
04.10.2010 00:00:00,10.4,50.4,12.3920632519561,2.43770528097833
11.10.2010 00:00:00,10.41,50.41,11.7655664971023,1.37209726734283
18.10.2010 00:00:00,10.42,50.42,11.3785765381584,0.286590337506504
25.10.2010 00:00:00,10.43,50.43,10.2576440023599,-0.803072884486177
01.11.2010 00:00:00,10.44,50.44,9.10548865126375,-1.88108949773479
08.11.2010 00:00:00,10.45,50.45,7.5624915561877,-2.93182550693935
15.11.2010 00:00:00,10.46,50.46,6.40322356160744,-3.94004255521548
22.11.2010 00:00:00,10.47,50.47,4.98890753210092,-4.89111891929963
29.11.2010 00:00:00,10.48,50.48,4.16670197937513,-5.77126156183215
06.12.2010 00:00:00,10.49,50.49,3.48063162708798,-6.56770616566891
13.12.2010 00:00:00,10.5,50.5,3.13776465082669,-7.26890224904705
20.12.2010 00:00:00,10.51,50.51,2.75515602434553,-7.86468067715507
27.12.2010 00:00:00,10.52,50.52,1.79546036336725,-8.34640114052124
03.01.2011 00:00:00,10.53,50.53,1.27967762476151,-8.70707746159478
10.01.2011 00:00:00,10.54,50.54,1.43623372317135,-8.94147891215082
17.01.2011 00:00:00,10.55,50.55,2.27492540281687,-9.04620607224715
24.01.2011 00:00:00,10.56,50.56,2.48802837202847,-9.01974013047566
31.01.2011 00:00:00,10.57,50.57,2.91758087203559,-8.86246491061473
07.02.2011 00:00:00,10.58,50.58,3.41880284116017,-8.57666130520383
14.02.2011 00:00:00,10.59,50.59,4.39193717510266,-8.16647419676664
21.02.2011 00:00:00,10.6,50.6,4.68069299681879,-7.63785234645057
28.02.2011 00:00:00,10.61,50.61,4.97076260301756,-6.99846212175339
07.03.2011 00:00:00,10.62,50.62,6.10890270940389,-6.25757631462922
14.03.2011 00:00:00,10.63,50.63,7.57059446086662,-5.42593966230713
21.03.2011 00:00:00,10.64,50.64,8.21012568020582,-4.51561302114767
28.03.2011 00:00:00,10.65,50.65,9.16293569441469,-3.53979845339391
04.04.2011 00:00:00,10.66,50.66,10.1891711729854,-2.51264776359631
11.04.2011 00:00:00,10.67,50.67,11.385497260133,-1.4490572611994
18.04.2011 00:00:00,10.68,50.68,12.5504176892828,-0.364451726051454
25.04.2011 00:00:00,10.69,50.69,13.5108456581318,0.725439290329167
02.05.2011 00:00:00,10.7,50.7,14.4878744158896,1.80480958344138
09.05.2011 00:00:00,10.71,50.71,15.3183977175372,2.85800552616846
16.05.2011 00:00:00,10.72,50.72,15.6833272927644,3.86975308630456
23.05.2011 00:00:00,10.73,50.73,16.0412358848722,4.82537933914339
30.05.2011 00:00:00,10.74,50.74,17.0590491847765,5.71102526231305
06.06.2011 00:00:00,10.75,50.75,17.2999187431579,6.51384672703891
13.06.2011 00:00:00,10.76,50.76,17.9045618490916,7.22220077078159
20.06.2011 00:00:00,10.77,50.77,18.1881284208743,7.82581445001524
27.06.2011 00:00:00,10.78,50.78,18.2391974088004,8.31593382410705
04.07.2011 00:00:00,10.79,50.79,18.1421886313713,8.6854509098363
11.07.2011 00:00:00,10.8,50.8,18.4270151213857,8.92900676531529
18.07.2011 00:00:00,10.81,50.81,18.4015667196916,9.04306920832644
25.07.2011 00:00:00,10.82,50.82,18.9896661154876,9.02598404201157
01.08.2011 00:00:00,10.83,50.83,19.1884308322817,8.87799904493627
08.08.2011 00:00:00,10.84,50.84,19.0832035837481,8.60126037766718
15.08.2011 00:00:00,10.85,50.85,19.1610626024166,8.19978145797869
22.08.2011 00:00:00,10.86,50.86,18.7485640240566,7.67938475601562
29.08.2011 00:00:00,10.87,50.87,18.4702916200077,7.04761735361393
05.09.2011 00:00:00,10.88,50.88,18.5772276349591,6.3136414923275
12.09.2011 00:00:00,10.89,50.89,18.2089858125425,5.48810169750218
19.09.2011 00:00:00,10.9,50.9,17.3132151322546,4.5829704055117
26.09.2011 00:00:00,10.91,50.91,16.0367135393981,3.611374332765
03.10.2011 00:00:00,10.92,50.92,14.6755158022655,2.58740410482689
10.10.2011 00:00:00,10.93,50.93,13.6498782747753,1.52590990631664
17.10.2011 00:00:00,10.94,50.94,12.4001522822062,0.442286115351928
24.10.2011 00:00:00,10.95,50.95,10.9027389516132,-0.647751954363748
31.10.2011 00:00:00,10.96,50.96,9.64354992113975,-1.72839596568022
07.11.2011 00:00:00,10.97,50.97,8.89855762662612,-2.78397381931238
14.11.2011 00:00:00,10.98,50.98,7.81287353713622,-3.7991769392602
21.11.2011 00:00:00,10.99,50.99,6.9799602554094,-4.75928228637092
28.11.2011 00:00:00,11,51,6.33979175069192,-5.65036587996122
05.12.2011 00:00:00,11.01,51.01,6.45161513950421,-6.45950473113022
12.12.2011 00:00:00,11.02,51.02,6.16778720645928,-7.17496425912793
19.12.2011 00:00:00,11.03,51.03,5.39693384174478,-7.78636847271732
26.12.2011 00:00:00,11.04,51.04,5.21252204283572,-8.28485044862349
02.01.2012 00:00:00,11.05,51.05,5.07228584891132,-8.66293398832276
09.01.2012 00:00:00,11.06,51.06,4.02403373302782,-8.91521017713596
16.01.2012 00:00:00,11.07,51.07,2.45542096246129,-9.03889774570296
23.01.2012 00:00:00,11.08,51.08,2.15308567096421,-9.03221268518558
30.01.2012 00:00:00,11.09,51.09,2.0635078385995,-8.89525141761603
06.02.2012 00:00:00,11.1,51.1,2.31371707302336,-8.62998940516717
13.02.2012 00:00:00,11.11,51.11,2.28478233770276,-8.24025265703396
20.02.2012 00:00:00,11.12,51.12,2.59466083876283,-7.7316625449769
27.02.2012 00:00:00,11.13,51.13,3.45991273611654,-7.11155472340808
05.03.2012 00:00:00,11.14,51.14,4.0849790673487,-6.38887332347274
12.03.2012 00:00:00,11.15,51.15,4.65414822054556,-5.57404194734342
19.03.2012 00:00:00,11.16,51.16,6.2920411969174,-4.67881332327136
26.03.2012 00:00:00,11.17,51.17,8.00144549201667,-3.71609978995023
02.04.2012 00:00:00,11.18,51.18,9.1842790941893,-2.69978705537089
09.04.2012 00:00:00,11.19,51.19,10.1732062139095,-1.64453391606273
16.04.2012 00:00:00,11.2,51.2,11.0496598173627,-0.565560825905234
23.04.2012 00:00:00,11.21,51.21,11.8526480887799,0.521569636280112
30.04.2012 00:00:00,11.22,51.22,12.8141473554267,1.60117723378678
07.05.2012 00:00:00,11.23,51.23,13.5600141202554,2.65769023597039
14.05.2012 00:00:00,11.24,51.24,14.157758956433,3.67587001730707
21.05.2012 00:00:00,11.25,51.25,15.079946339385,4.64103085190052
28.05.2012 00:00:00,11.26,51.26,16.0433250038608,5.5392517330862
04.06.2012 00:00:00,11.27,51.27,17.237520267671,6.35757716332112
11.06.2012 00:00:00,11.28,51.28,17.7976379103819,7.08420401783081
18.06.2012 00:00:00,11.29,51.29,18.1206394715915,7.70865178714041
25.06.2012 00:00:00,11.3,51.3,18.318134678915,8.22191374282661
02.07.2012 00:00:00,11.31,51.31,19.0454535352293,8.61658684609545
09.07.2012 00:00:00,11.32,51.32,19.2301351088518,8.88697852562031
16.07.2012 00:00:00,11.33,51.33,19.3096013793928,9.02918878440368
23.07.2012 00:00:00,11.34,51.34,19.9779654727786,9.04116645139706
30.07.2012 00:00:00,11.35,51.35,20.2926101220682,8.92273876660746
06.08.2012 00:00:00,11.36,51.36,20.15938561098,8.67561387288865
13.08.2012 00:00:00,11.37,51.37,19.9023150548684,8.3033561785435
20.08.2012 00:00:00,11.38,51.38,19.3817860684916,7.81133494601678
27.08.2012 00:00:00,11.39,51.39,19.0516904236628,7.20664684832087
03.09.2012 00:00:00,11.4,51.4,18.5512293609947,6.49801361009477
10.09.2012 00:00:00,11.41,51.41,17.7707907354737,5.69565620968468
17.09.2012 00:00:00,11.42,51.42,16.7936014007569,4.81114745682826
24.09.2012 00:00:00,11.43,51.43,16.1212777932392,3.85724507209492
01.10.2012 00:00:00,11.44,51.44,14.3618288627114,2.84770767573112
08.10.2012 00:00:00,11.45,51.45,13.143399589751,1.79709634017073
15.10.2012 00:00:00,11.46,51.46,12.1318454670117,0.720564568145209
22.10.2012 00:00:00,11.47,51.47,10.7608897668256,-0.366360273900478
29.10.2012 00:00:00,11.48,51.48,9.98362372697542,-1.44800091497474
05.11.2012 00:00:00,11.49,51.49,8.84832601176475,-2.50875630085879
12.11.2012 00:00:00,11.5,51.5,7.62440136758517,-3.53332661596498
19.11.2012 00:00:00,11.51,51.51,6.54347602172479,-4.50693396042629
26.11.2012 00:00:00,11.52,51.52,6.13282117241142,-5.41553549931959
03.12.2012 00:00:00,11.53,51.53,5.76406304706088,-6.24602600954271
10.12.2012 00:00:00,11.54,51.54,5.77040639007271,-6.98642690317589
17.12.2012 00:00:00,11.55,51.55,5.05294205088827,-7.62605900078878
24.12.2012 00:00:00,11.56,51.56,4.17178378378171,-8.1556965626139
31.12.2012 00:00:00,11.57,51.57,3.7496032965337,-8.56770035616999
07.01.2013 00:00:00,11.58,51.58,3.68242289086955,-8.85674407485248
14.01.2013 00:00:00,11.59,51.59,3.4312643669734,-9.01734237472076
21.01.2013 00:00:00,11.6,51.6,3.36371718906083,-9.04716617008398
28.01.2013 00:00:00,11.61,51.61,2.95497106919288,-8.94578293970618
04.02.2013 00:00:00,11.62,51.62,2.46187994112534,-8.71466299947196
11.02.2013 00:00:00,11.63,51.63,2.35604725653003,-8.3571581790457
18.02.2013 00:00:00,11.64,51.64,1.91908701480203,-7.87845321177046
25.02.2013 00:00:00,11.65,51.65,2.24325086115249,-7.28549054281777
04.03.2013 00:00:00,11.66,51.66,2.61232009431345,-6.58686964595081
11.03.2013 00:00:00,11.67,51.67,3.04917356140744,-5.79272230920951
18.03.2013 00:00:00,11.68,51.68,3.65352030895574,-4.9145656980763
25.03.2013 00:00:00,11.69,51.69,4.97777411532065,-3.96513532720336
01.04.2013 00:00:00,11.7,51.7,6.18134969804851,-2.95820036283044
08.04.2013 00:00:00,11.71,51.71,7.6158786458653,-1.90836393474482
15.04.2013 00:00:00,11.72,51.72,8.86203248706083,-0.83085135357442
22.04.2013 00:00:00,11.73,51.73,9.42520600750285,0.258710695134618
29.04.2013 00:00:00,11.74,51.74,10.2789688361389,1.34452077772014
06.05.2013 00:00:00,11.75,51.75,11.0854516591305,2.41083187366462
13.05.2013 00:00:00,11.76,51.76,12.6476324358443,3.44217974756199
20.05.2013 00:00:00,11.77,51.77,14.1196254327412,4.42360722007421
27.05.2013 00:00:00,11.78,51.78,14.9186954105557,5.34088108519022
03.06.2013 00:00:00,11.79,51.79,15.0549218159583,6.18069852816889
10.06.2013 00:00:00,11.8,51.8,15.848986038955,6.93088005028256
17.06.2013 00:00:00,11.81,51.81,16.5558337253563,7.58054610268346
24.06.2013 00:00:00,11.82,51.82,17.4512571591965,8.12027486766744
01.07.2013 00:00:00,11.83,51.83,18.5226349566205,8.54223889907339
08.07.2013 00:00:00,11.84,51.84,19.9221867941433,8.84031864030122
15.07.2013 00:00:00,11.85,51.85,20.650118083764,9.01019117348419
22.07.2013 00:00:00,11.86,51.86,20.7366480184379,9.04939291285211
29.07.2013 00:00:00,11.87,51.87,20.5401238368683,8.9573553330192
05.08.2013 00:00:00,11.88,51.88,20.1839120003312,8.7354132140584
12.08.2013 00:00:00,11.89,51.89,20.6303491669307,8.3867852837755
19.08.2013 00:00:00,11.9,51.9,20.0437173287911,7.91652753792541
26.08.2013 00:00:00,11.91,51.91,19.3757402092009,7.33145991538538
02.09.2013 00:00:00,11.92,51.92,18.57827734157,6.64006739157321
09.09.2013 00:00:00,11.93,51.93,17.5414721459795,5.85237692465046
16.09.2013 00:00:00,11.94,51.94,16.1428845821964,4.97981203900314
23.09.2013 00:00:00,11.95,51.95,15.4782459767114,4.03502715495009
30.09.2013 00:00:00,11.96,51.96,15.1899255291255,3.03172406729971
07.10.2013 00:00:00,11.97,51.97,14.4031334216721,1.98445323437728
14.10.2013 00:00:00,11.98,51.98,13.6574042311775,0.908402759110821
21.10.2013 00:00:00,11.99,51.99,12.1601013905677,-0.180821877208485
28.10.2013 00:00:00,12,52,11.1264598924033,-1.26742413429311
04.11.2013 00:00:00,12.01,52.01,9.89290253360424,-2.33564550305481
11.11.2013 00:00:00,12.02,52.02,8.65600543011946,-3.36999404426605
18.11.2013 00:00:00,12.03,52.03,7.37893659585833,-4.35546906120023
25.11.2013 00:00:00,12.04,52.04,7.02046933860286,-5.27777864815585
02.12.2013 00:00:00,12.05,52.05,6.32178706086642,-6.12354695954317
09.12.2013 00:00:00,12.06,52.06,5.34774025745516,-6.88050819383766
16.12.2013 00:00:00,12.07,52.07,5.08923996913578,-7.53768447905129
23.12.2013 00:00:00,12.08,52.08,4.53671694192933,-8.08554507988775
30.12.2013 00:00:00,12.09,52.09,4.46716752203484,-8.51614461781554
06.01.2014 00:00:00,12.1,52.1,4.34217815636577,-8.82323829931652
13.01.2014 00:00:00,12.11,52.11,4.7829620576772,-9.00237248135866
20.01.2014 00:00:00,12.12,52.12,5.1769243221591,-9.05094926059911
27.01.2014 00:00:00,12.13,52.13,5.8245484416226,-8.96826414961965
03.02.2014 00:00:00,12.14,52.14,5.8940887580144,-8.75551629379866
10.02.2014 00:00:00,12.15,52.15,5.97729158997757,-8.41579108063427
17.02.2014 00:00:00,12.16,52.16,6.33250950712725,-7.95401539374396
24.02.2014 00:00:00,12.17,52.17,6.63857417189653,-7.37688616045397
03.03.2014 00:00:00,12.18,52.18,7.09679116197471,-6.69277322927831
10.03.2014 00:00:00,12.19,52.19,8.11087500124345,-5.91159798567748
17.03.2014 00:00:00,12.2,52.2,9.08572520307148,-5.04468946665238
24.03.2014 00:00:00,12.21,52.21,9.41012532768692,-4.10462006073866
31.03.2014 00:00:00,12.22,52.22,10.1763821892114,-3.1050231763071
07.04.2014 00:00:00,12.23,52.23,10.6484044708074,-2.06039552222274
14.04.2014 00:00:00,12.24,52.24,11.3794657359299,-0.985886868581632
21.04.2014 00:00:00,12.25,52.25,12.0113395845877,0.102919663678089
28.04.2014 00:00:00,12.26,52.26,12.8339881193593,1.19023359786237
05.05.2014 00:00:00,12.27,52.27,13.3652467484915,2.26028610371386
12.05.2014 00:00:00,12.28,52.28,14.5184909695162,3.29755868583967
19.05.2014 00:00:00,12.29,52.29,15.2494758589488,4.28700824147997
26.05.2014 00:00:00,12.3,52.3,15.8661234903822,5.21428522396427
02.06.2014 00:00:00,12.31,52.31,16.7932162362178,6.06594174774763
09.06.2014 00:00:00,12.32,52.32,17.383464167638,6.82962661719535
16.06.2014 00:00:00,12.33,52.33,17.9243944931685,7.49426445042115
23.06.2014 00:00:00,12.34,52.34,18.6937412322764,8.05021630064498
30.06.2014 00:00:00,12.35,52.35,19.4448525628745,8.48941944551794
07.07.2014 00:00:00,12.36,52.36,19.6366808302419,8.80550431724748
14.07.2014 00:00:00,12.37,52.37,20.1241741236389,8.99388687756998
21.07.2014 00:00:00,12.38,52.38,19.7333228735695,9.05183509802744
28.07.2014 00:00:00,12.39,52.39,19.0873533204868,8.97850858135852
04.08.2014 00:00:00,12.4,52.4,18.9566402317296,8.77497074941257
11.08.2014 00:00:00,12.41,52.41,18.9410919832069,8.44417342080905
18.08.2014 00:00:00,12.42,52.42,18.5142077670767,7.9909140020278
25.08.2014 00:00:00,12.43,52.43,18.5478503675013,7.42176591274781
01.09.2014 00:00:00,12.44,52.44,17.776447779015,6.74498325450221
08.09.2014 00:00:00,12.45,52.45,17.2326989698174,5.97038110506467
15.09.2014 00:00:00,12.46,52.46,16.8259343501958,5.10919317477591
22.09.2014 00:00:00,12.47,52.47,16.3590644876307,4.17390888903299
29.09.2014 00:00:00,12.48,52.48,15.7601560706775,3.17809225969408
06.10.2014 00:00:00,12.49,52.49,15.3760828729029,2.13618517231019
13.10.2014 00:00:00,12.5,52.5,14.4604326386601,1.06329794179433
20.10.2014 00:00:00,12.51,52.51,13.5404979216701,-0.0250098256935641
27.10.2014 00:00:00,12.52,52.52,12.6332057328574,-1.11295488682302
03.11.2014 00:00:00,12.53,52.53,11.4285561493463,-2.18475925838338
10.11.2014 00:00:00,12.54,52.54,10.3563212793517,-3.22487903845283
17.11.2014 00:00:00,12.55,52.55,9.46837402556329,-4.2182298326265
24.11.2014 00:00:00,12.56,52.56,8.64821927832181,-5.15040551630728
01.12.2014 00:00:00,12.57,52.57,7.28345655667823,-6.00788716026612
08.12.2014 00:00:00,12.58,52.58,6.30683503080233,-6.77823908974218
15.12.2014 00:00:00,12.59,52.59,5.79822216703967,-7.45028923344385
22.12.2014 00:00:00,12.6,52.6,5.49229390767229,-8.0142911471426
29.12.2014 00:00:00,12.61,52.61,4.73938352494513,-8.46206536202313
05.01.2015 00:00:00,12.62,52.62,4.29030823901755,-8.78711800785526
12.01.2015 00:00:00,12.63,52.63,3.66199858460893,-8.98473499074512
19.01.2015 00:00:00,12.64,52.64,3.37182688655127,-9.05205035951273
26.01.2015 00:00:00,12.65,52.65,3.03567017541334,-8.98808786931256
02.02.2015 00:00:00,12.66,52.66,2.85175053308532,-8.79377513968399
09.02.2015 00:00:00,12.67,52.67,3.17487209104875,-8.47193020169211
16.02.2015 00:00:00,12.68,52.68,3.65993518587637,-8.02722062927878
23.02.2015 00:00:00,12.69,52.69,3.89739305335869,-7.4660958475145
02.03.2015 00:00:00,12.7,52.7,4.28729917129468,-6.79669359944515
09.03.2015 00:00:00,12.71,52.71,4.79427113482973,-6.02872192806721
16.03.2015 00:00:00,12.72,52.72,5.6895268636765,-5.17331838483878
23.03.2015 00:00:00,12.73,52.73,7.07000940810371,-4.24288850676496
30.03.2015 00:00:00,12.74,52.74,8.35939936696588,-3.25092590438933
06.04.2015 00:00:00,12.75,52.75,9.28520423556317,-2.21181657002446
13.04.2015 00:00:00,12.76,52.76,10.3484936921074,-1.14063024401616
20.04.2015 00:00:00,12.77,52.77,11.4301969269586,-0.0529018650630522
27.04.2015 00:00:00,12.78,52.78,12.2384366741969,1.0355937261022
04.05.2015 00:00:00,12.79,52.79,12.8796089729183,2.10907056220957
11.05.2015 00:00:00,12.8,52.8,14.0862365151381,3.15196048632699
18.05.2015 00:00:00,12.81,52.81,15.3213653286218,4.1491389298515
25.05.2015 00:00:00,12.82,52.82,15.7542275296782,5.08614425749291
01.06.2015 00:00:00,12.83,52.83,16.2900289619612,5.94938749787269
08.06.2015 00:00:00,12.84,52.84,17.606816832099,6.72634941834599
15.06.2015 00:00:00,12.85,52.85,18.505548109878,7.40576208586262
22.06.2015 00:00:00,12.86,52.86,19.3561434987038,7.97777228079466
29.06.2015 00:00:00,12.87,52.87,19.9551768524439,8.434084393764
06.07.2015 00:00:00,12.88,52.88,20.4593203950253,8.76808073322609
13.07.2015 00:00:00,12.89,52.89,21.4487086413183,8.97491749886987
20.07.2015 00:00:00,12.9,52.9,21.482817266966,9.05159502910812
27.07.2015 00:00:00,12.91,52.91,21.415996151294,8.99700130383481
03.08.2015 00:00:00,12.92,52.92,22.1280748667388,8.81192807155422
10.08.2015 00:00:00,12.93,52.93,21.8379189175909,8.49905936701773
17.08.2015 00:00:00,12.94,52.94,20.8076252359437,8.06293258584527
24.08.2015 00:00:00,12.95,52.95,20.1248032217231,7.50987268070457
31.08.2015 00:00:00,12.96,52.96,18.9992831091263,6.84790043332416
07.09.2015 00:00:00,12.97,52.97,18.0946637697361,6.086616132706
14.09.2015 00:00:00,12.98,52.98,17.4650422219193,5.23706034634552
21.09.2015 00:00:00,12.99,52.99,15.6673602831183,4.3115538038317
28.09.2015 00:00:00,13,53,14.500162945605,3.32351871476303
05.10.2015 00:00:00,13.01,53.01,13.4717184766319,2.28728411247386
12.10.2015 00:00:00,13.02,53.02,12.4269318443292,1.21787804634982
19.10.2015 00:00:00,13.03,53.03,11.8917973410287,0.130809636772467
26.10.2015 00:00:00,13.04,53.04,11.129826695214,-0.958155846767748
02.11.2015 00:00:00,13.05,53.05,10.092142281032,-2.03322562237679
09.11.2015 00:00:00,13.06,53.06,9.48831561841753,-3.07880843138188
16.11.2015 00:00:00,13.07,53.07,8.659608333403,-4.07974065151646
23.11.2015 00:00:00,13.08,53.08,8.3093970157542,-5.02150620812225
30.11.2015 00:00:00,13.09,53.09,8.52207287374247,-5.89044709435046
07.12.2015 00:00:00,13.1,53.1,8.37186255857758,-6.67396144710726
14.12.2015 00:00:00,13.11,53.11,8.41640951359882,-7.36068630634606
21.12.2015 00:00:00,13.12,53.12,7.81659685756882,-7.94066240696789
28.12.2015 00:00:00,13.13,53.13,7.39418103189539,-8.40547861362584
